doc_id,locale,summary_len,body0_len
guideArticle.cairo.the-mosque-of-sultan-qaitbey,ja,240,30
guideArticle.giza.abusir-necropolis,es,156,513
guideArticle.giza.abusir-pyramid-of-niuserre,en,240,90
guideArticle.giza.abusir-pyramid-of-niuserre,es,240,103
guideArticle.giza.abusir-pyramid-of-niuserre,ja,240,34
guideArticle.giza.dahshur-necropolis,es,164,443
guideArticle.giza.imhotep-museum-at-saqqara,es,201,549
guideArticle.giza.mastaba-of-ptahshepses-at-abusir,es,188,533
guideArticle.giza.memphis-mit-rahina,es,201,777
guideArticle.giza.mit-rahina-museum,es,163,538
guideArticle.giza.pyramid-of-djedefre-at-abu-rawash,es,259,730
guideArticle.giza.pyramid-of-khentkaus-ii-at-abusir,es,257,731
guideArticle.giza.pyramid-of-neferirkare-at-abusir,es,271,774
guideArticle.giza.pyramid-of-sahure-at-abusir,es,182,505
guideArticle.giza.pyramids-of-zawyet-el-aryan,es,224,581
guideArticle.giza.tanis-san-al-hagar,es,237,748
guideArticle.giza.the-bent-pyramid-of-sneferu,es,271,842
guideArticle.giza.the-great-pyramid-of-khufu,es,275,631
guideArticle.giza.the-great-sphinx,es,273,653
guideArticle.giza.the-layer-pyramid-of-khaba-at-zawyet-el-aryan,es,246,579
guideArticle.giza.the-red-pyramid-of-sneferu,es,210,741
guideArticle.giza.the-saqqara-necropolis,es,216,689
guideArticle.giza.the-solar-boat-of-khufu,es,167,416
guideArticle.giza.the-white-pyramid-of-amenemhat-ii,es,139,614
guideArticle.giza.tomb-of-mereruka-at-saqqara,es,273,560
guideArticle.giza.tours-in-giza,es,161,428
guideArticle.kom-ombo.gebel-el-silsila,es,152,966
guideArticle.kom-ombo.khnum-temple,en,240,22
guideArticle.kom-ombo.khnum-temple,es,240,36
guideArticle.kom-ombo.khnum-temple,ja,240,9
guideArticle.luxor.el-assasif,es,150,1807
guideArticle.luxor.el-khokha,es,248,1634
guideArticle.luxor.madinat-habu-temple,es,252,1261
guideArticle.luxor.only-in-luxor,es,201,790
guideArticle.luxor.the-colossi-of-memnon,es,249,1113
guideArticle.luxor.the-karnak-temple,es,244,1086
guideArticle.luxor.the-luxor-museum,es,258,1214
guideArticle.luxor.the-luxor-temple,es,265,1578
guideArticle.luxor.the-mortuary-temple-of-queen-hatshepsut,en,240,59
guideArticle.luxor.the-mortuary-temple-of-queen-hatshepsut,ja,240,28
guideArticle.luxor.valley-of-the-kings,es,208,1704
guideArticle.luxor.valley-of-the-queens,es,271,1571
guideArticle.qena.the-temple-of-dendera,ja,240,10
guideArticle.qena.the-temple-of-hathor,en,240,36
guideArticle.qena.the-temple-of-hathor,es,239,33
guideArticle.qena.the-temple-of-hathor,ja,240,10
guideArticle.saint-catherine.mosque-of-al-hakim-be-amr-allah,en,240,31
guideArticle.saint-catherine.mosque-of-al-hakim-be-amr-allah,es,240,33
guideArticle.saint-catherine.mosque-of-al-hakim-be-amr-allah,ja,240,21
guideArticle.siwa-oasis.food-in-siwa-oasis,es,173,969
guideArticle.siwa-oasis.getting-around-in-siwa-oasis,es,242,467
guideArticle.siwa-oasis.how-to-go-in-siwa-oasis,es,124,614
guideArticle.siwa-oasis.shali-fortress,es,122,483
guideArticle.siwa-oasis.siwa-house-museum,es,217,385
guideArticle.siwa-oasis.tours-in-siwa-oasis,es,181,632
guideArticle.siwa-oasis.upcoming-events-in-siwa-oasis,es,243,449
wp-page-112945,en,240,12
wp-page-112945,es,240,12
wp-page-112945,ja,240,9
wp-page-114934,en,240,32
wp-page-114934,es,240,52
wp-page-114934,ja,240,17
wp-page-114936,en,240,30
wp-page-114936,es,240,52
wp-page-114936,ja,240,16
wp-page-114938,en,240,37
wp-page-114938,es,239,56
wp-page-114938,ja,240,24
wp-page-145963,en,240,60
wp-page-145963,es,240,60
wp-page-145963,ja,240,37
wp-page-145987,en,240,55
wp-page-145987,es,240,72
wp-page-145987,ja,240,32
wp-page-153215,en,239,42
wp-page-153215,es,240,55
wp-page-153215,ja,240,23
wp-page-153289,en,240,37
wp-page-153289,es,240,42
wp-page-153289,ja,240,20
wp-page-155767,en,240,46
wp-page-155767,es,240,69
wp-page-155767,ja,240,27
wp-page-239598,en,240,109
wp-page-239598,es,240,141
wp-page-239598,ja,240,55
wp-page-59386,es,269,598
wp-page-59387,es,217,444
wp-page-59388,es,118,474
wp-page-59389,es,249,683
wp-page-59391,es,256,400
wp-page-59393,es,119,680
wp-page-59394,es,153,546
wp-page-59407,es,113,478
wp-page-59426,ja,240,27
wp-page-59634,en,240,42
wp-page-59634,es,240,50
wp-page-59634,ja,240,23
wp-page-59636,en,240,77
wp-page-59636,es,240,81
wp-page-59636,ja,240,26
wp-page-59638,en,240,27
wp-page-59638,es,239,33
wp-page-59638,ja,240,14
wp-page-59642,en,239,70
wp-page-59642,es,240,75
