from_url,to_path,locale,status_code,old_category_id,old_name,split
/blog/category/planning,/blog/category/planning-and-itineraries,en,301,category-planning,Planning,(no staying posts)
/es/blog/category/planificacion,/es/blog/category/planificacion-e-itinerarios,es,301,category-planning,Planning,(no staying posts)
/ja/blog/category/planning,/ja/blog/category/planning-and-itineraries,ja,301,category-planning,Planning,(no staying posts)
/blog/category/planning-advice,/blog/category/planning-and-itineraries,en,301,category-planning-advice,Planning Advice,(no staying posts)
/es/blog/category/planning-advice,/es/blog/category/planificacion-e-itinerarios,es,301,category-planning-advice,Planning Advice,(no staying posts)
/ja/blog/category/planning-advice,/ja/blog/category/planning-and-itineraries,ja,301,category-planning-advice,Planning Advice,(no staying posts)
/blog/category/safety,/blog/category/practical-egypt,en,301,wp-category-78,Safety,(no staying posts)
/es/blog/category/safety,/es/blog/category/egipto-practico,es,301,wp-category-78,Safety,(no staying posts)
/ja/blog/category/safety,/ja/blog/category/practical-egypt,ja,301,wp-category-78,Safety,(no staying posts)
/blog/category/things-to-do,/blog/category/planning-and-itineraries,en,301,wp-category-75,Things to Do,PLAN:2; REDSEA:1
/es/blog/category/things-to-do,/es/blog/category/planificacion-e-itinerarios,es,301,wp-category-75,Things to Do,PLAN:2; REDSEA:1
/ja/blog/category/things-to-do,/ja/blog/category/planning-and-itineraries,ja,301,wp-category-75,Things to Do,PLAN:2; REDSEA:1
/blog/category/tips-tricks,/blog/category/practical-egypt,en,301,wp-category-21,Tips & Tricks,PRAC:3; SITES:2; PLAN:2
/es/blog/category/tips-tricks,/es/blog/category/egipto-practico,es,301,wp-category-21,Tips & Tricks,PRAC:3; SITES:2; PLAN:2
/ja/blog/category/tips-tricks,/ja/blog/category/practical-egypt,ja,301,wp-category-21,Tips & Tricks,PRAC:3; SITES:2; PLAN:2
/blog/category/tours,/blog/category/planning-and-itineraries,en,301,wp-category-74,Tours,PLAN:14; HIST:8; SITES:5; NILE:4; PRAC:3; REDSEA:2; CITY:1; DESERT:1
/es/blog/category/tours,/es/blog/category/planificacion-e-itinerarios,es,301,wp-category-74,Tours,PLAN:14; HIST:8; SITES:5; NILE:4; PRAC:3; REDSEA:2; CITY:1; DESERT:1
/ja/blog/category/tours,/ja/blog/category/planning-and-itineraries,ja,301,wp-category-74,Tours,PLAN:14; HIST:8; SITES:5; NILE:4; PRAC:3; REDSEA:2; CITY:1; DESERT:1
/blog/category/wellness,/blog/category/desert-oases-and-sinai,en,301,wp-category-647,Wellness,DESERT:1
/es/blog/category/wellness,/es/blog/category/desierto-oasis-y-sinai,es,301,wp-category-647,Wellness,DESERT:1
/ja/blog/category/wellness,/ja/blog/category/desert-oases-and-sinai,ja,301,wp-category-647,Wellness,DESERT:1
